"id","line_idx(1-4)","orig","ja_trans","en_trans"
"1","4","莫作等閒看","（訳準備中）","TBD"
"2","1","月被浮雲翳","（訳準備中）","TBD"
"2","2","立事自昏迷","（訳準備中）","TBD"
"2","3","幸乞隂公祐","（訳準備中）","TBD"
"2","4","何慮不開眉","（訳準備中）","TBD"
"3","1","愁惱損忠良","（訳準備中）","TBD"
"3","2","青霄一炷香","（訳準備中）","TBD"
"3","3","雖然防小過","（訳準備中）","TBD"
"3","4","閑慮覺時長","（訳準備中）","TBD"
"4","1","累有興雲志","（訳準備中）","TBD"
"4","2","君恩祿未封","（訳準備中）","TBD"
"4","3","若逢侯手印","（訳準備中）","TBD"
"4","4","好事始總總","（訳準備中）","TBD"
"5","1","家道未能昌","（訳準備中）","TBD"
"5","2","危危保禍殃","（訳準備中）","TBD"
"5","3","暗雲侵月桂","（訳準備中）","TBD"
"5","4","佳人一炷香","（訳準備中）","TBD"
"6","1","宅墓鬼凶多","（訳準備中）","TBD"
"6","2","人事有爻訛","（訳準備中）","TBD"
"6","3","傷財防損失","（訳準備中）","TBD"
"6","4","祈福始中和","（訳準備中）","TBD"
"7","1","登舟待便風","（訳準備中）","TBD"
"7","2","月色暗朦朧","（訳準備中）","TBD"
"7","3","欲輾香輪去","（訳準備中）","TBD"
"7","4","高山千萬重","（訳準備中）","TBD"
"8","1","勿頭中見尾","（訳準備中）","TBD"
"8","2","文華須得理","（訳準備中）","TBD"
"8","3","禾刀自偶然","（訳準備中）","TBD"
"8","4","當遇非常喜","（訳準備中）","TBD"
"9","1","有名須得遇","（訳準備中）","TBD"
"9","2","三望一朝遷","（訳準備中）","TBD"
"9","3","貴人來指處","（訳準備中）","TBD"
"9","4","華菓應時鮮","（訳準備中）","TBD"
"10","1","舊用多成破","（訳準備中）","TBD"
"10","2","新更始見財","（訳準備中）","TBD"
"10","3","改求雲外望","（訳準備中）","TBD"
"10","4","枯木遇春開","（訳準備中）","TBD"
"11","1","有祿興家業","（訳準備中）","TBD"
"11","2","文華達帝都","（訳準備中）","TBD"
"11","3","雲中乘好箭","（訳準備中）","TBD"
"11","4","兼得貴人扶","（訳準備中）","TBD"
"12","1","楊柳遇春時","（訳準備中）","TBD"
"12","2","殘花發舊枝","（訳準備中）","TBD"
"12","3","重重霜雪裡","（訳準備中）","TBD"
"12","4","黃金色更輝","（訳準備中）","TBD"
"13","1","手把大陽輝","（訳準備中）","TBD"
"13","2","東君發舊枝","（訳準備中）","TBD"
"13","3","稼苗方欲秀","（訳準備中）","TBD"
"13","4","猶更上雲梯","（訳準備中）","TBD"
"14","1","玉石未分時","（訳準備中）","TBD"
"14","2","憂心轉更悲","（訳準備中）","TBD"
"14","3","前途通大道","（訳準備中）","TBD"
"14","4","花發應殘枝","（訳準備中）","TBD"
"15","1","年乖數亦孤","（訳準備中）","TBD"
"15","2","久病未能蘇","（訳準備中）","TBD"
"15","3","岸危舟未發","（訳準備中）","TBD"
"15","4","龍臥失明珠","（訳準備中）","TBD"
"16","1","破改重成望","（訳準備中）","TBD"
"16","2","前途喜亦寧","（訳準備中）","TBD"
"16","3","貴人相助處","（訳準備中）","TBD"
"16","4","祿馬照前程","（訳準備中）","TBD"
"17","1","怪異防憂惱","（訳準備中）","TBD"
"17","2","人宅見分離","（訳準備中）","TBD"
"17","3","惜華還值雨","（訳準備中）","TBD"
"17","4","杯酒惹閑非","（訳準備中）","TBD"
"18","1","離暗出明時","（訳準備中）","TBD"
"18","2","麻衣變綠衣","（訳準備中）","TBD"
"18","3","舊憂終是退","（訳準備中）","TBD"
"18","4","遇祿應交輝","（訳準備中）","TBD"
"19","1","家道生荊棘","（訳準備中）","TBD"
"19","2","兒孫防虎威","（訳準備中）","TBD"
"19","3","香前祈福厚","（訳準備中）","TBD"
"19","4","方得免分離","（訳準備中）","TBD"
"20","1","月出漸分明","（訳準備中）","TBD"
"20","2","家財每每興","（訳準備中）","TBD"
"20","3","何言先有滯","（訳準備中）","TBD"
"20","4","更變立功名","（訳準備中）","TBD"
"21","1","洗出經年否","（訳準備中）","TBD"
"21","2","光華得再清","（訳準備中）","TBD"
"21","3","所求終吉利","（訳準備中）","TBD"
"21","4","重日照前程","（訳準備中）","TBD"
"22","1","漸漸濃雲散","（訳準備中）","TBD"
"22","2","看看月再明","（訳準備中）","TBD"
"22","3","逢春華菓秀","（訳準備中）","TBD"
"22","4","雨過竹重青","（訳準備中）","TBD"
"23","1","紅雲隨步起","（訳準備中）","TBD"
"23","2","一箭中青霄","（訳準備中）","TBD"
"23","3","鹿行千里遠","（訳準備中）","TBD"
"23","4","爭知去路遙","（訳準備中）","TBD"
"24","1","三女莫相逢","（訳準備中）","TBD"
"24","2","盟言說未通","（訳準備中）","TBD"
"24","3","門裡心肝掛","（訳準備中）","TBD"
"24","4","縞素子重重","（訳準備中）","TBD"
"25","1","枯木逢春生","（訳準備中）","TBD"
"25","2","前途必利亨","（訳準備中）","TBD"
"25","3","亦得佳人箭","（訳準備中）","TBD"
"25","4","乘車祿自行","（訳準備中）","TBD"
"26","1","將軍有異聲","（訳準備中）","TBD"
"26","2","進兵萬里程","（訳準備中）","TBD"
"26","3","爭知臨敵處","（訳準備中）","TBD"
"26","4","道勝却虛名","（訳準備中）","TBD"
"27","1","望祿應重山","（訳準備中）","TBD"
"27","2","花紅喜悅顏","（訳準備中）","TBD"
"27","3","舉頭看皎月","（訳準備中）","TBD"
"27","4","漸出黑雲間","（訳準備中）","TBD"
"28","1","意速無船渡","（訳準備中）","TBD"
"28","2","波深必誤身","（訳準備中）","TBD"
"28","3","切須回舊路","（訳準備中）","TBD"
"28","4","方可免災迍","（訳準備中）","TBD"
"29","1","憂轗漸消融","（訳準備中）","TBD"
"29","2","求名得再通","（訳準備中）","TBD"
"29","3","寶財臨祿位","（訳準備中）","TBD"
"29","4","當遇主人公","（訳準備中）","TBD"
"30","1","仙鶴立高枝","（訳準備中）","TBD"
"30","2","防他暗箭虧","（訳準備中）","TBD"
"30","3","井畔剛刀利","（訳準備中）","TBD"
"30","4","戶內更防危","（訳準備中）","TBD"
"31","1","鯤鯨未變時","（訳準備中）","TBD"
"31","2","且守碧潭溪","（訳準備中）","TBD"
"31","3","風雲興巨浪","（訳準備中）","TBD"
"31","4","一息過天涯","（訳準備中）","TBD"
"32","1","似玉藏深石","（訳準備中）","TBD"
"32","2","休將故眼看","（訳準備中）","TBD"
"32","3","一朝良匠別","（訳準備中）","TBD"
"32","4","方見寶光寒","（訳準備中）","TBD"
"33","1","枯木逢春艷","（訳準備中）","TBD"
"33","2","芳菲再發林","（訳準備中）","TBD"
"33","3","雲間方見月","（訳準備中）","TBD"
"33","4","前遇貴人欽","（訳準備中）","TBD"
"34","1","臘木春將至","（訳準備中）","TBD"
"34","2","芳菲喜再新","（訳準備中）","TBD"
"34","3","鯤鯨興巨浪","（訳準備中）","TBD"
"34","4","舉鉤祿為真","（訳準備中）","TBD"
"35","1","射鹿須乘箭","（訳準備中）","TBD"
"35","2","故僧引路歸","（訳準備中）","TBD"
"35","3","遇道同仙籍","（訳準備中）","TBD"
"35","4","光華映晚暉","（訳準備中）","TBD"
"36","1","先損後有益","（訳準備中）","TBD"
"36","2","如月之剝蝕","（訳準備中）","TBD"
"36","3","玉兔待重生","（訳準備中）","TBD"
"36","4","光華當滿室","（訳準備中）","TBD"
"37","1","陰靉未能通","（訳準備中）","TBD"
"37","2","求名亦未逢","（訳準備中）","TBD"
"37","3","幸然須有變","（訳準備中）","TBD"
"37","4","一箭中雙鴻","（訳準備中）","TBD"
"38","1","月照天書靜","（訳準備中）","TBD"
"38","2","雲生霧彩霞","（訳準備中）","TBD"
"38","3","久想離庭客","（訳準備中）","TBD"
"38","4","無事惹咨嗟","（訳準備中）","TBD"
"39","1","望用方心腹","（訳準備中）","TBD"
"39","2","家鄉被火災","（訳準備中）","TBD"
"39","3","憂危三五度","（訳準備中）","TBD"
"39","4","由損斷頭財","（訳準備中）","TBD"
"40","1","中正方成道","（訳準備中）","TBD"
"40","2","姦邪恐惹愆","（訳準備中）","TBD"
"40","3","壺中盛妙藥","（訳準備中）","TBD"
"40","4","非久去煩煎","（訳準備中）","TBD"
"41","1","有物不周旋","（訳準備中）","TBD"
"41","2","須防損半邊","（訳準備中）","TBD"
"41","3","家鄉煙火裡","（訳準備中）","TBD"
"41","4","祈福始安然","（訳準備中）","TBD"
"42","1","桂華春將到","（訳準備中）","TBD"
"42","2","雲天好進程","（訳準備中）","TBD"
"42","3","貴人相遇處","（訳準備中）","TBD"
"42","4","暗月再分明","（訳準備中）","TBD"
"43","1","月桂將相滿","（訳準備中）","TBD"
"43","2","追鹿映山溪","（訳準備中）","TBD"
"43","3","貴人乘遠箭","（訳準備中）","TBD"
"43","4","好事始相宜","（訳準備中）","TBD"
"44","1","盤中黑白子","（訳準備中）","TBD"
"44","2","一著要先機","（訳準備中）","TBD"
"44","3","天龍降甘澤","（訳準備中）","TBD"
"44","4","喜出舊根基","（訳準備中）","TBD"
"45","1","有意興高顯","（訳準備中）","TBD"
"45","2","祿馬引前程","（訳準備中）","TBD"
"45","3","得遇雲中箭","（訳準備中）","TBD"
"45","4","芝蘭滿路生","（訳準備中）","TBD"
"46","1","雷發震天昏","（訳準備中）","TBD"
"46","2","佳人獨掩門","（訳準備中）","TBD"
"46","3","交加文書上","（訳準備中）","TBD"
"46","4","無事也遭迍","（訳準備中）","TBD"
"47","1","更望身前立","（訳準備中）","TBD"
"47","2","何期在晚成","（訳準備中）","TBD"
"47","3","若遇重山去","（訳準備中）","TBD"
"47","4","財祿自相迎","（訳準備中）","TBD"
"48","1","見祿隔前溪","（訳準備中）","TBD"
"48","2","勞心休更迷","（訳準備中）","TBD"
"48","3","一朝逢好渡","（訳準備中）","TBD"
"48","4","鸞鳳入雲飛","（訳準備中）","TBD"
"49","1","正好中秋月","（訳準備中）","TBD"
"49","2","蟾蜍皎潔間","（訳準備中）","TBD"
"49","3","暗雲知何處","（訳準備中）","TBD"
"49","4","故故兩相攀","（訳準備中）","TBD"
"50","1","有達宜更變","（訳準備中）","TBD"
"50","2","重山利政逢","（訳準備中）","TBD"
"50","3","前途相偶合","（訳準備中）","TBD"
"50","4","財祿保亨通","（訳準備中）","TBD"
"51","1","修進甚功辛","（訳準備中）","TBD"
"51","2","勞生未得時","（訳準備中）","TBD"
"51","3","騰身遊碧漢","（訳準備中）","TBD"
"51","4","方得遇高枝","（訳準備中）","TBD"
"52","1","有僭須惹訟","（訳準備中）","TBD"
"52","2","兼有事交加","（訳準備中）","TBD"
"52","3","門裡防人危","（訳準備中）","TBD"
"52","4","災臨莫嘆嗟","（訳準備中）","TBD"
"53","1","久困漸能安","（訳準備中）","TBD"
"53","2","雲書降印權","（訳準備中）","TBD"
"53","3","殘花終結實","（訳準備中）","TBD"
"53","4","時亨祿自遷","（訳準備中）","TBD"
"54","1","身同意不同","（訳準備中）","TBD"
"54","2","月蝕暗長空","（訳準備中）","TBD"
"54","3","輪雖常在手","（訳準備中）","TBD"
"54","4","魚水未相逢","（訳準備中）","TBD"
"55","1","雲散月重明","（訳準備中）","TBD"
"55","2","天書得誌誠","（訳準備中）","TBD"
"55","3","雖然多阻滯","（訳準備中）","TBD"
"55","4","花發再重榮","（訳準備中）","TBD"
"56","1","生涯喜又憂","（訳準備中）","TBD"
"56","2","未老先白頭","（訳準備中）","TBD"
"56","3","勞心千百度","（訳準備中）","TBD"
"56","4","芳遇貴人留","（訳準備中）","TBD"
"57","1","欲渡長江闊","（訳準備中）","TBD"
"57","2","波深未自儔","（訳準備中）","TBD"
"57","3","前津逢浪靜","（訳準備中）","TBD"
"57","4","重整鉤鰲鉤","（訳準備中）","TBD"
"58","1","有徑江海隔","（訳準備中）","TBD"
"58","2","車行峻嶺危","（訳準備中）","TBD"
"58","3","亦防多進退","（訳準備中）","TBD"
"58","4","猶恐小人虧","（訳準備中）","TBD"
"59","1","去住心無定","（訳準備中）","TBD"
"59","2","行藏亦未寧","（訳準備中）","TBD"
"59","3","一輪清皎潔","（訳準備中）","TBD"
"59","4","却被黑雲乘","（訳準備中）","TBD"
"60","1","高危安可涉","（訳準備中）","TBD"
"60","2","平坦是延年","（訳準備中）","TBD"
"60","3","守道當逢泰","（訳準備中）","TBD"
"60","4","風雲不偶然","（訳準備中）","TBD"
"61","1","舊愆何日解","（訳準備中）","TBD"
"61","2","戶內保嬋娟","（訳準備中）","TBD"
"61","3","要逢十一口","（訳準備中）","TBD"
"61","4","遇鼠過牛邊","（訳準備中）","TBD"
"62","1","災轗時時退","（訳準備中）","TBD"
"62","2","名顯四方揚","（訳準備中）","TBD"
"62","3","改故重乘祿","（訳準備中）","TBD"
"62","4","昴高福自昌","（訳準備中）","TBD"
"63","1","何故生荊棘","（訳準備中）","TBD"
"63","2","家人意漸疏","（訳準備中）","TBD"
"63","3","久困重輪下","（訳準備中）","TBD"
"63","4","黃金未出渠","（訳準備中）","TBD"
"64","1","安居且慮危","（訳準備中）","TBD"
"64","2","情深主別離","（訳準備中）","TBD"
"64","3","風飄波浪急","（訳準備中）","TBD"
"64","4","鴛鴦各自飛","（訳準備中）","TBD"
"65","1","苦病兼防辱","（訳準備中）","TBD"
"65","2","乘危亦未穌","（訳準備中）","TBD"
"65","3","若見一陽後","（訳準備中）","TBD"
"65","4","方可作良圖","（訳準備中）","TBD"
"66","1","水滯少波濤","（訳準備中）","TBD"
"66","2","飛鴻落羽毛","（訳準備中）","TBD"
"66","3","重憂心緒亂","（訳準備中）","TBD"
"66","4","閑事惹風騷","（訳準備中）","TBD"
"67","1","枯木未生枝","（訳準備中）","TBD"
"67","2","獨步上雲岐","（訳準備中）","TBD"
"67","3","豈知身未穩","（訳準備中）","TBD"
"67","4","獨自惹閑非","（訳準備中）","TBD"
"68","1","異夢生英傑","（訳準備中）","TBD"
"68","2","前來事可疑","（訳準備中）","TBD"
"68","3","芳菲春日暖","（訳準備中）","TBD"
"68","4","依舊發殘枝","（訳準備中）","TBD"
"69","1","明月暗雲浮","（訳準備中）","TBD"
"69","2","花紅一半枯","（訳準備中）","TBD"
"69","3","惹事傷心處","（訳準備中）","TBD"
"69","4","行舟莫遠圖","（訳準備中）","TBD"
"70","1","雷發庭前草","（訳準備中）","TBD"
"70","2","炎火向天飛","（訳準備中）","TBD"
"70","3","一心來趕祿","（訳準備中）","TBD"
"70","4","爭奈掩朱扉","（訳準備中）","TBD"
"71","1","道業未成時","（訳準備中）","TBD"
"71","2","何期兩不宜","（訳準備中）","TBD"
"71","3","事煩心緒亂","（訳準備中）","TBD"
"71","4","飜做徘徊思","（訳準備中）","TBD"
"72","1","戶內防重厄","（訳準備中）","TBD"
"72","2","花菓見分枝","（訳準備中）","TBD"
"72","3","嚴霜纔過後","（訳準備中）","TBD"
"72","4","方可始相宜","（訳準備中）","TBD"
"73","1","久暗漸分明","（訳準備中）","TBD"
"73","2","登江綠水澄","（訳準備中）","TBD"
"73","3","芝書從遠降","（訳準備中）","TBD"
"73","4","終得異人成","（訳準備中）","TBD"
"74","1","蛇虎正交羅","（訳準備中）","TBD"
"74","2","牛生二尾多","（訳準備中）","TBD"
"74","3","交歲方成慶","（訳準備中）","TBD"
"74","4","上下不能和","（訳準備中）","TBD"
"75","1","孤舟欲過岸","（訳準備中）","TBD"
"75","2","浪急渡人空","（訳準備中）","TBD"
"75","3","女人立流水","（訳準備中）","TBD"
"75","4","望月意情濃","（訳準備中）","TBD"
"76","1","富貴天之祐","（訳準備中）","TBD"
"76","2","何須苦用心","（訳準備中）","TBD"
"76","3","前程應顯跡","（訳準備中）","TBD"
"76","4","久用得高臨","（訳準備中）","TBD"
"77","1","累滯未能穌","（訳準備中）","TBD"
"77","2","求名莫遠圖","（訳準備中）","TBD"
"77","3","登舟波浪急","（訳準備中）","TBD"
"77","4","咫尺隔天衢","（訳準備中）","TBD"
"78","1","但存公道正","（訳準備中）","TBD"
"78","2","何愁理去忠","（訳準備中）","TBD"
"78","3","松柏蒼蒼翠","（訳準備中）","TBD"
"78","4","前山祿馬重","（訳準備中）","TBD"
"79","1","殘月未還光","（訳準備中）","TBD"
"79","2","樽前非語傷","（訳準備中）","TBD"
"79","3","戶中有人厄","（訳準備中）","TBD"
"79","4","祈福保青陽","（訳準備中）","TBD"
"80","1","深山多養道","（訳準備中）","TBD"
"80","2","忠正帝王宣","（訳準備中）","TBD"
"80","3","鳳遂鸞飛去","（訳準備中）","TBD"
"80","4","昇高過九天","（訳準備中）","TBD"
"81","1","道合須成合","（訳準備中）","TBD"
"81","2","先憂事更多","（訳準備中）","TBD"
"81","3","所求財寶盛","（訳準備中）","TBD"
"81","4","更變得中和","（訳準備中）","TBD"
"82","1","火發應連天","（訳準備中）","TBD"
"82","2","新愁惹舊愆","（訳準備中）","TBD"
"82","3","欲求千里外","（訳準備中）","TBD"
"82","4","要渡更無船","（訳準備中）","TBD"
"83","1","舉步出雲端","（訳準備中）","TBD"
"83","2","高枝未可攀","（訳準備中）","TBD"
"83","3","昇頭看皎月","（訳準備中）","TBD"
"83","4","猶在黑雲間","（訳準備中）","TBD"
"84","1","否極方無泰","（訳準備中）","TBD"
"84","2","花開值晚秋","（訳準備中）","TBD"
"84","3","人情不調備","（訳準備中）","TBD"
"84","4","財寶鬼來偷","（訳準備中）","TBD"
"85","1","望用何愁晚","（訳準備中）","TBD"
"85","2","求名漸得寧","（訳準備中）","TBD"
"85","3","雲梯終有望","（訳準備中）","TBD"
"85","4","歸路入蓬瀛","（訳準備中）","TBD"
"86","1","花發應陽臺","（訳準備中）","TBD"
"86","2","車行進寶財","（訳準備中）","TBD"
"86","3","執文朝帝殿","（訳準備中）","TBD"
"86","4","走馬聽聲雷","（訳準備中）","TBD"
"87","1","鑿石方逢玉","（訳準備中）","TBD"
"87","2","淘沙始見金","（訳準備中）","TBD"
"87","3","青霄終有路","（訳準備中）","TBD"
"87","4","只恐不堅心","（訳準備中）","TBD"
"88","1","作事不和同","（訳準備中）","TBD"
"88","2","臨危更主凶","（訳準備中）","TBD"
"88","3","佳人生苦根","（訳準備中）","TBD"
"88","4","閑慮兩三重","（訳準備中）","TBD"
"89","1","一片無瑕玉","（訳準備中）","TBD"
"89","2","從今好琢磨","（訳準備中）","TBD"
"89","3","得遇高人識","（訳準備中）","TBD"
"89","4","方逢喜氣多","（訳準備中）","TBD"
"90","1","一信向天飛","（訳準備中）","TBD"
"90","2","秦川舟自歸","（訳準備中）","TBD"
"90","3","前途成好事","（訳準備中）","TBD"
"90","4","應得貴人推","（訳準備中）","TBD"
"91","1","改變前途去","（訳準備中）","TBD"
"91","2","月桂又逢圓","（訳準備中）","TBD"
"91","3","雲中乘祿至","（訳準備中）","TBD"
"91","4","凡事可宜先","（訳準備中）","TBD"
"92","1","自幼常為旅","（訳準備中）","TBD"
"92","2","逢春駿馬驕","（訳準備中）","TBD"
"92","3","前程宜進步","（訳準備中）","TBD"
"92","4","得箭降青霄","（訳準備中）","TBD"
"93","1","有魚臨旱池","（訳準備中）","TBD"
"93","2","跳躍入波濤","（訳準備中）","TBD"
"93","3","隔中須有望","（訳準備中）","TBD"
"93","4","先且慮塵勞","（訳準備中）","TBD"
"94","1","事忌樽前語","（訳準備中）","TBD"
"94","2","人防小輩交","（訳準備中）","TBD"
"94","3","幸乞陰公祐","（訳準備中）","TBD"
"94","4","方免事敵爻","（訳準備中）","TBD"
"95","1","志氣勤修業","（訳準備中）","TBD"
"95","2","祿位未造逢","（訳準備中）","TBD"
"95","3","若聞金雞語","（訳準備中）","TBD"
"95","4","乘船得便風","（訳準備中）","TBD"
"96","1","雞逐鳳同飛","（訳準備中）","TBD"
"96","2","高林整羽儀","（訳準備中）","TBD"
"96","3","棹舟須濟岸","（訳準備中）","TBD"
"96","4","寶貨滿船歸","（訳準備中）","TBD"
"97","1","霧罩重樓屋","（訳準備中）","TBD"
"97","2","佳人水上行","（訳準備中）","TBD"
"97","3","白雲歸去路","（訳準備中）","TBD"
"97","4","不見月波澄","（訳準備中）","TBD"
"98","1","欲理新絲亂","（訳準備中）","TBD"
"98","2","閑愁足是非","（訳準備中）","TBD"
"98","3","只困羅網裡","（訳準備中）","TBD"
"98","4","相見幾人悲","（訳準備中）","TBD"
"99","1","紅日當門照","（訳準備中）","TBD"
"99","2","暗月再重圓","（訳準備中）","TBD"
"99","3","遇珍須得寶","（訳準備中）","TBD"
"99","4","頗有稱心田","（訳準備中）","TBD"
"100","1","祿走白雲間","（訳準備中）","TBD"
"100","2","攜琴走遠山","（訳準備中）","TBD"
"100","3","不遇神仙面","（訳準備中）","TBD"
"100","4","空惹意闌珊","（訳準備中）","TBD"